TABL. 1.;ZACHOROWANIA NA NIEKT”RE CHOROBY ZAKAèNE WED£UG WOJEW”DZTW W 2022 R.;;;;;;;;;;;;;;;;;;;;"powrÛt
back";;
;INCIDENCE OF INFECTIOUS DISEASES AND POISONINGS BY VOIVODSHIPS IN 2022;;;;;;;;;;;;;;;;;;;;;;
CHOROBY;;"POLSKA
Poland";Dolno-úlπskie;Kujawsko-pomorskie;Lubelskie;Lubuskie;£Ûdzkie;Ma≥o-polskie;Mazo-wieckie;Opolskie;Podkar-packie;Podlaskie;Pomorskie;ålπskie;åwiÍto-krzyskie;WarmiÒ-sko-mazur-skie;Wielko-polskie;Zacho-dniopo-morskie;DISEASES;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;w liczbach bezwzglÍdnych   in absolute numbers;;;;;;;;;;;;;;;;;;;;;
TÍøec ;;5 ;- ;1 ;1 ;1 ;- ;1 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;1 ;Tetanus;;;;
Krztusiec ;;371 ;16 ;15 ;7 ;6 ;107 ;41 ;47 ;9 ;3 ;35 ;29 ;17 ;4 ;3 ;21 ;11 ;Whooping cough;;;;
Odra ;;27 ;2 ;- ;- ;- ;1 ;4 ;11 ;- ;- ;- ;1 ;5 ;- ;- ;1 ;2 ;Measles;;;;
WZW typu B ;;2500 ;104 ;183 ;48 ;43 ;282 ;160 ;201 ;31 ;50 ;103 ;388 ;410 ;9 ;53 ;322 ;113 ;Viral hepatitis type B;;;;
WZW typu C ;;2527 ;191 ;179 ;135 ;95 ;156 ;168 ;191 ;56 ;61 ;77 ;175 ;316 ;29 ;76 ;361 ;261 ;Viral hepatitis type C;;;;
WZW typu A ;;233 ;14 ;6 ;10 ;1 ;9 ;24 ;43 ;12 ;22 ;- ;18 ;23 ;5 ;1 ;40 ;5 ;Viral hepatitis type A;;;;
RÛøyczka ;;147 ;7 ;5 ;2 ;4 ;14 ;15 ;24 ;1 ;9 ;3 ;12 ;21 ;- ;3 ;18 ;9 ;Rubella;;;;
AIDS ;;114 ;22 ;10 ;- ;3 ;8 ;11 ;5 ;3 ;3 ;7 ;12 ;2 ;1 ;5 ;16 ;6 ;AIDS;;;;
Salmonellozy ;;6575 ;395 ;264 ;410 ;186 ;392 ;711 ;1050 ;154 ;550 ;180 ;399 ;633 ;183 ;249 ;587 ;232 ;Other salmonella infections;;;;
Czerwonka bakteryjna ;;43 ;5 ;1 ;- ;- ;12 ;4 ;14 ;1 ;- ;2 ;3 ;- ;- ;- ;1 ;- ;Shigellosis;;;;
Inne bakteryjne zatrucia;;307 ;2 ;17 ;13 ;7 ;115 ;7 ;29 ;1 ;9 ;2 ;24 ;14 ;9 ;1 ;41 ;16 ;Other bacterial ;;;;
 pokarmowe;;;;;;;;;;;;;;;;;;; foodborne intoxications;;;;
Zapalenie jelit wywo≥ane ;;34211 ;1705 ;1964 ;2064 ;684 ;1897 ;3545 ;4595 ;873 ;1864 ;1514 ;3284 ;3975 ;966 ;1227 ;2985 ;1069 ;Enteritis caused by;;;;
 przez rotawirusy ;;;;;;;;;;;;;;;;;;; rotavirus;;;;
Zapalenie jelit wywo≥ane ;;21563 ;861 ;1394 ;1633 ;265 ;1901 ;1460 ;4341 ;580 ;693 ;467 ;1083 ;3052 ;690 ;717 ;1726 ;700 ;Enteritis caused by;;;;
 przez clostridium difficile ;;;;;;;;;;;;;;;;;;; clostridium difficile;;;;
Biegunki u dzieci do lat 2 ;;29852 ;1374 ;1359 ;1767 ;736 ;1209 ;3491 ;4143 ;661 ;1470 ;927 ;3291 ;4033 ;759 ;786 ;2849 ;997 ;Acute diarrhoea in;;;;
;;;;;;;;;;;;;;;;;;; children under 2 years;;;;
Szkarlatyna ;;12654 ;471 ;510 ;583 ;290 ;273 ;1352 ;1559 ;252 ;513 ;333 ;1823 ;2028 ;197 ;294 ;1199 ;977 ;Scarlet fever;;;;
Bakteryjne zapalenie opon ;;468 ;27 ;39 ;19 ;13 ;28 ;54 ;59 ;17 ;27 ;10 ;30 ;55 ;9 ;24 ;36 ;21 ;Bacterial meningitis ;;;;
  mÛzgowych i/lub mÛzgu ;;;;;;;;;;;;;;;;;;; and/or encephalitis;;;;
Wirusowe zapalenie opon ;;366 ;23 ;19 ;17 ;4 ;16 ;44 ;43 ;15 ;26 ;21 ;29 ;26 ;12 ;28 ;28 ;15 ;Viral meningitis;;;;
  mÛzgowych ;;;;;;;;;;;;;;;;;;;;;;;
Wirusowe zapalenie mÛzgu ;;531 ;69 ;7 ;34 ;2 ;26 ;55 ;56 ;10 ;9 ;139 ;5 ;14 ;12 ;72 ;6 ;15 ;Viral encephalitis;;;;
åwinka ;;922 ;29 ;30 ;67 ;24 ;40 ;103 ;187 ;15 ;31 ;26 ;68 ;140 ;36 ;18 ;60 ;48 ;Mumps ;;;;
W≥oúnica ;;1 ;- ;- ;- ;- ;- ;- ;- ;- ;1 ;- ;- ;- ;- ;- ;- ;- ;Trichinellosis;;;;
Grypa ;;4703128 ;232330 ;298026 ;161772 ;61913 ;175641 ;383757 ;824535 ;59870 ;68467 ;82822 ;853088 ;524275 ;96752 ;107331 ;705792 ;66757 ;Influenza;;;;
Borelioza z Lyme ;;17366 ;838 ;528 ;1559 ;497 ;540 ;2737 ;1599 ;596 ;1226 ;930 ;1480 ;2132 ;316 ;840 ;876 ;672 ;Lyme borreliosis;;;;
;;;;;;;;;;;;;;;;;;;;;;;
è†r†Û†d†≥†o: dane Narodowego Instytutu Zdrowia Publicznego PZH ñ PaÒstwowego Instytutu Badawczego.;;;;;;;;;;;;;;;;;;;;;;;
S†o†u†r†c†e: data of the National Institute of Public Health NIH ñ National Research Institute.;;;;;;;;;;;;;;;;;;;;;;;
TABL. 1.;ZACHOROWANIA NA NIEKT”RE CHOROBY ZAKAèNE WED£UG WOJEW”DZTW W 2022 R. (dok.);;;;;;;;;;;;;;;;;;;;;;
;INCIDENCE OF INFECTIOUS DISEASES AND POISONINGS BY VOIVODSHIPS IN 2022 (cont.);;;;;;;;;;;;;;;;;;;;;;
CHOROBY;;"POLSKA
Poland";Dolno-úlπskie;Kujawsko-pomorskie;Lubelskie;Lubuskie;£Ûdzkie;Ma≥o-polskie;Mazo-wieckie;Opolskie;Podkar-packie;Podlaskie;Pomorskie;ålπskie;åwiÍto-krzyskie;WarmiÒ-sko-mazur-skie;Wielko-polskie;Zacho-dniopo-morskie;DISEASES;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;na 100 tys. ludnoúci   per 100 thousand population;;;;;;;;;;;;;;;;;;;;;
TÍøec ;;0,0 ;- ;0,0 ;0,0 ;0,1 ;- ;0,0 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;0,1 ;Tetanus;;;;
Krztusiec ;;1,0 ;0,6 ;0,7 ;0,3 ;0,6 ;4,5 ;1,2 ;0,9 ;1,0 ;0,1 ;3,1 ;1,2 ;0,4 ;0,3 ;0,2 ;0,6 ;0,7 ;Whooping cough;;;;
